bits,tdi,alpha,product_id,row0,col0,mean_clean_dn,mean_dim_dn,pred_sigma_mean,emp_sigma_mean,ratio
msb,64,0.1,ch2_ohr_nrp_20250516T1342347288_d_img_d18,46336,4608,61.984222412109375,6.198422431945801,0.9939450621604919,0.9859098792076111,0.9919158816337585
msb,64,0.3,ch2_ohr_nrp_20250516T1342347288_d_img_d18,46336,4608,61.984222412109375,18.59526824951172,1.0535049438476562,1.045891284942627,0.9927729964256287
msb,64,1.0,ch2_ohr_nrp_20250516T1342347288_d_img_d18,46336,4608,61.984222412109375,61.984222412109375,1.2482261657714844,1.2362897396087646,0.9904372692108154
msb,64,0.1,ch2_ohr_nrp_20250612T2229094979_d_img_d18,29696,6912,140.96591186523438,14.09659194946289,1.052786946296692,1.0463347434997559,0.9938713312149048
msb,64,0.3,ch2_ohr_nrp_20250612T2229094979_d_img_d18,29696,6912,140.96591186523438,42.28977584838867,1.1806201934814453,1.1693172454833984,0.990426242351532
msb,64,1.0,ch2_ohr_nrp_20250612T2229094979_d_img_d18,29696,6912,140.96591186523438,140.96591186523438,1.582840919494629,1.5668630599975586,0.989905595779419
msb,64,0.1,ch2_ohr_nrp_20210401T2357376656_d_img_hw1,41728,6656,81.60580444335938,8.1605806350708,1.0138945579528809,1.0041234493255615,0.990362823009491
msb,64,0.3,ch2_ohr_nrp_20210401T2357376656_d_img_hw1,41728,6656,81.60580444335938,24.48174285888672,1.09065842628479,1.0820231437683105,0.9920824766159058
msb,64,1.0,ch2_ohr_nrp_20210401T2357376656_d_img_hw1,41728,6656,81.60580444335938,81.60580444335938,1.3384745121002197,1.328368902206421,0.9924498796463013
msb,64,0.1,ch2_ohr_nrp_20250612T2031048828_d_img_d18,39680,2048,102.01158142089844,10.201157569885254,1.0545397996902466,1.0453391075134277,0.9912751317024231
msb,64,0.3,ch2_ohr_nrp_20250612T2031048828_d_img_d18,39680,2048,102.01158142089844,30.60347557067871,1.1470295190811157,1.1363165378570557,0.9906602501869202
msb,64,1.0,ch2_ohr_nrp_20250612T2031048828_d_img_d18,39680,2048,102.01158142089844,102.01158142089844,1.4447252750396729,1.4321415424346924,0.9912898540496826
msb,64,0.1,ch2_ohr_nrp_20260330T2317474369_d_img_d18,42752,6400,5.650360107421875,0.5650360584259033,0.9678447842597961,0.9594535231590271,0.9913299679756165
msb,64,0.3,ch2_ohr_nrp_20260330T2317474369_d_img_d18,42752,6400,5.650360107421875,1.6951080560684204,0.9734387397766113,0.9654558897018433,0.9917993545532227
msb,64,1.0,ch2_ohr_nrp_20260330T2317474369_d_img_d18,42752,6400,5.650360107421875,5.650360107421875,0.9927496910095215,0.9839543700218201,0.9911404252052307
msb,64,0.1,ch2_ohr_nrp_20210402T0155096873_d_img_d18,43776,3840,61.560577392578125,6.156057357788086,1.015322208404541,1.0063228607177734,0.9911364316940308
msb,64,0.3,ch2_ohr_nrp_20210402T0155096873_d_img_d18,43776,3840,61.560577392578125,18.46817398071289,1.0731453895568848,1.0640735626220703,0.9915465116500854
msb,64,1.0,ch2_ohr_nrp_20210402T0155096873_d_img_d18,43776,3840,61.560577392578125,61.560577392578125,1.2621135711669922,1.252950668334961,0.9927400350570679
msb,64,0.1,ch2_ohr_nrp_20210405T1606536730_d_img_d18,53760,9728,42.7659912109375,4.276598930358887,0.9959993362426758,0.9866976737976074,0.9906609654426575
msb,64,0.3,ch2_ohr_nrp_20210405T1606536730_d_img_d18,53760,9728,42.7659912109375,12.829797744750977,1.037092924118042,1.0296591520309448,0.9928321242332458
msb,64,1.0,ch2_ohr_nrp_20210405T1606536730_d_img_d18,53760,9728,42.7659912109375,42.7659912109375,1.1738183498382568,1.1623698472976685,0.9902467727661133
msb,64,0.1,ch2_ohr_nrp_20250612T2031048828_d_img_d18,17408,1280,126.70414733886719,12.670413970947266,1.0227316617965698,1.0149348974227905,0.9923765063285828
msb,64,0.3,ch2_ohr_nrp_20250612T2031048828_d_img_d18,17408,1280,126.70414733886719,38.01124572753906,1.140735387802124,1.1319057941436768,0.9922597408294678
msb,64,1.0,ch2_ohr_nrp_20250612T2031048828_d_img_d18,17408,1280,126.70414733886719,126.70414733886719,1.5117759704589844,1.499180793762207,0.9916686415672302
